agent,infer_ms_steady,infer_fps,infer_median_ms,infer_max_ms,loop_fps,frames,steady_frames
autoware_v1,0.02,55271.52,0.02,8.88,67.83,45,10
carl_roach_0,3.69,270.75,4.86,46.18,87.40,45,10
carl_carl_0,3.87,258.55,5.83,32.98,84.88,45,10
plant2_plant2_0,17.76,56.31,17.95,102.01,47.27,45,10
carl_carlv11,23.34,42.85,25.49,51.76,31.50,45,10
tfv4_aim_0,43.37,23.06,41.99,90.11,20.19,45,10
carl_plant_0,44.81,22.31,44.51,89.59,19.60,45,10
lbc_nc,45.59,21.94,45.31,101.44,19.87,45,10
lbc_lb,47.47,21.07,46.21,139.62,18.73,45,10
wor_nc,63.00,15.87,60.45,122.66,14.37,45,10
wor_lb,64.02,15.62,64.38,180.07,14.05,45,10
neat_aimbev,67.11,14.90,68.75,99.35,13.50,45,10
neat_aim2dsem,68.87,14.52,66.02,110.49,13.11,45,10
neat_aim2ddepth,69.73,14.34,69.28,94.37,13.06,45,10
tfv4_l6_0,89.73,11.14,88.25,96.69,9.41,45,10
tfv4_lav_0,90.91,11.00,89.76,161.79,9.38,45,10
tfv4_wp_0,93.12,10.74,89.78,102.54,9.15,45,10
lav_fast,113.82,8.79,116.18,5290.55,7.52,45,10
lav_lav,129.43,7.73,130.44,334.98,6.91,45,10
tfv3_lf,133.11,7.51,170.86,325.13,6.64,45,10
if_if,143.06,6.99,140.89,424.05,6.27,45,10
tfv3_gf,143.30,6.98,192.22,413.26,6.17,45,10
tfv3_tf,160.10,6.25,205.52,670.17,5.67,45,10
tfv3_ltf,163.33,6.12,199.14,522.33,5.87,45,10
neat_neat,173.13,5.78,169.78,371.24,5.55,45,10
lmdrive_vicuna,198.18,5.05,88.77,350.52,4.68,45,10
lmdrive_llava,198.44,5.04,87.37,401.40,4.62,45,10
lmdrive_llama,200.54,4.99,89.33,328.64,4.63,45,10
tfv5_alltowns,203.91,4.90,199.75,765.99,4.57,45,10
tfv5_notown13,207.62,4.82,204.20,222.12,4.51,45,10
tfv6_noradar,234.79,4.26,215.72,413.92,3.82,45,10
tfv6_resnet,249.36,4.01,240.91,417.22,3.60,45,10
tfv6_notown13,254.12,3.94,241.52,319.48,3.53,45,10
tfv6_4cameras,274.80,3.64,261.96,467.60,3.32,45,10
tfv6_visiononly,291.57,3.43,274.22,405.16,3.14,45,10
tfv6_regnet,312.06,3.20,301.98,858.06,2.94,45,10
tt_tt,633.88,1.58,290.28,1078.27,1.54,45,10
minddrive_05b,1164.32,0.86,1162.48,1460.95,0.86,45,10
orion_base,1172.16,0.85,1168.55,1928.15,0.85,45,10
minddrive_3b,1775.13,0.56,1770.95,2075.99,0.56,45,10
simlingo_simlingo,2133.84,0.47,1939.15,3319.55,0.47,45,10
